timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742940216405,15,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,282,15,15,http://localhost:8080/authentication/register,15,0,3
1742940216389,37,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,286,15,15,http://localhost:8080/authentication/register,37,0,19
1742940216389,31,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,277,15,15,http://localhost:8080/authentication/register,31,0,19
1742940216389,31,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,281,15,15,http://localhost:8080/authentication/register,31,0,19
1742940216451,4,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,290,16,16,http://localhost:8080/authentication/register,4,0,0
1742940216496,4,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,17,17,http://localhost:8080/authentication/register,4,0,0
1742940216541,5,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,280,18,18,http://localhost:8080/authentication/register,5,0,0
1742940216586,7,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,274,19,19,http://localhost:8080/authentication/register,6,0,1
1742940216630,6,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,285,20,20,http://localhost:8080/authentication/register,6,0,1
1742940216675,5,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,283,21,21,http://localhost:8080/authentication/register,5,0,1
1742940216721,5,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,276,22,22,http://localhost:8080/authentication/register,5,0,1
1742940216771,6,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,285,23,23,http://localhost:8080/authentication/register,5,0,1
1742940216813,35,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,282,24,24,http://localhost:8080/authentication/register,35,0,0
1742940216856,26,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,276,25,25,http://localhost:8080/authentication/register,26,0,1
1742940216900,34,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,287,26,26,http://localhost:8080/authentication/register,34,0,0
1742940216947,8,15 Login Request,200,OK,User Thread Group 1-1,text,true,,529,267,27,27,http://localhost:8080/authentication/login,8,0,0
1742940216947,14,15 Login Request,200,OK,User Thread Group 1-3,text,true,,529,261,27,27,http://localhost:8080/authentication/login,14,0,0
